Dim.Class,Int/Ext,Longitude (°),Latitude (°),start,end,Depth (%wt),Distance (m),Girth Weld No.
Pitting,Int,26.09695,41.35122,306.5,303.5,10,11300.11,9210
General,Int,26.09702,41.35118,336,331,9,11301.62,9210
Pitting,Int,26.09705,41.35118,307,303,15,11373.42,9270
General,Ext,26.09701,41.35118,293.5,285.5,11,11374.17,9270
Pitting,Ext,26.09701,41.35118,306,302,12,11482.88,9360
General,Ext,26.09703,41.35118,335,329,8,11759.29,9580
General,Ext,26.09706,41.35118,305,297,9,11759.99,9590
General,Ext,26.09697,41.35121,60.5,54.5,19,11861.94,9670
General,Ext,26.09697,41.35121,134,105,18,11871.65,9670
General,Ext,26.09697,41.3512,307,300,17,11899.29,9700
General,Ext,26.09698,41.3512,278,251,5,11961.69,9750
General,Ext,26.09699,41.35119,293,284,21,11961.69,9750
General,Ext,26.09699,41.35119,277,271,16,12002.46,9800
General,Ext,26.09699,41.35119,274.5,268.5,8,12002.69,9800
General,Ext,26.097,41.35119,341.5,147.5,12,12010.11,9800
General,Ext,26.097,41.35119,72.5,340.5,13,12010.12,9800
General,Ext,26.09698,41.3512,316.5,212.5,10,12010.38,9810
General,Int,26.09698,41.3512,324,317,6,12020.08,9810
General,Int,26.09696,41.35121,192,185,14,12020.52,9810
General,Ext,26.097,41.35118,196,189,13,12020.68,9810
General,Int,26.09696,41.35121,152,143,21,12020.92,9810
General,Ext,26.09707,41.35117,221.5,211.5,8,12116.26,9890
General,Ext,26.09717,41.35117,299.5,248.5,20,12141.41,9910
Pitting,Ext,26.09727,41.35115,24.5,17.5,9,12141.52,9920
Circumferential Grooving,Ext,26.09693,41.35123,317,257,8,12219.68,9980
General,Ext,26.09681,41.35127,157.5,148.5,8,12304.87,10050
General,Ext,26.09666,41.3513,179.5,172.5,10,12304.87,10050
Circumferential Grooving,Ext,26.09646,41.35133,273.5,246.5,14,12304.88,10050
General,Ext,26.09577,41.35148,238,195,14,12404.67,10130
General,Ext,26.09631,41.35136,246.5,211.5,12,12492.26,10200
General,Ext,26.09621,41.35138,33,26,16,12518.49,10230
General,Ext,26.09604,41.35143,66.5,60.5,5,12518.75,10230
Pitting,Ext,26.09557,41.35151,261,257,19,12580.17,10280
Circumferential Grooving,Ext,26.09538,41.35156,267.5,238.5,10,12604.57,10290
General,Ext,26.12433,41.35134,267.5,261.5,5,12637.27,10320
Pitting,Ext,26.12441,41.35135,280.5,276.5,10,12639.47,10320
General,Ext,26.12026,41.35093,199.5,170.5,8,12692.02,10360
General,Ext,26.12028,41.35093,280.5,273.5,6,12692.04,10360
General,Ext,26.12031,41.35092,90,90,21,12717.18,10390
General,Ext,26.12031,41.35092,256,166,5,12729.53,10390
